Generic,Brand,Drug Class,Formulation,Side Effects (Common),Side Effects (Rare but Serious),Contraindications/Black Box Warnings
Acyclovir,Zovirax,Viral DNA Polymerase Inhibitor,"capsule, suspension, tablet",malaise,"Severe hypersensitivity, renal failure, TTP",None
Adapalene,"Differin, Plixda","Retinoid, Antiacne","cream, gel, lotion, pad, solution","dry, scaly skin, red, burning",Angioedema,None
Albendazole,Albenza,Anthelmintic,tablet,"H/A, increased LFTs","Severe hypersensitivity, renal failure, hepatic failure, aplastic anemia, agranulocytosis, Stevens-Johnson syndrome",None
Albuterol,"ProAir HFA, Proventil HFA, Ventolin HFA, ProAir Respiclick","Beta-2 Adrenergic Agonist, Selective","inhaler, nebulization solution for inhalation, tablet, syrup","Nausea, pharyngitis, rhinitis, throat irritation, upper respiratory tract infections, tremor, nervousness","Paradoxical bronchospasms, pulmonary edema, atrial fibrillation",None
Alendronate,"Fosamax, Binosto",Bisphosphonate,"tablet, solution","fever, gastric ulcer, flu-like symptoms, decreased serum calcium","Osteonecrosis of the jaw, esophageal cancer, immune hypersensitivity, arrhythmia, fractures","CI: Esophageal abnormalities, hypersensitivity, hypocalcemia, inability to sit or stand upright for at least 30 min; increased risk for adverse esophageal effects"
Allopurinol,Zyloprim,"Antigout, Xanthine Oxidase Inhibitor",tablet,"worsening gout at first, maculopapular rash","Stevens-Johnson syndrome, toxic epidermal necrolysis, agranulocytosis, aplastic anemia, thrombocytopenia, granulomatous hepatitis, hepatotoxicity, immune hypersensitivity reaction, renal failure",CI: concurrent use of didanosine
Alprazolam,Xanax,"Benzodiazepine, Short or Immediate","tablet (IR, ER), ODT, solution","retrograde amnesia, ataxia, lethargy, weight gain, appetite changes, constipation, decreased libido","Seizures, mania, depression, liver failure, Stevens-Johnson syndrome","CI: narrow-angle glaucoma, concurrent ketoconazole, or itraconazole, BW: Concurrent use with opioids"
Amiodarone,"Cordarone, Pacerone","Antiarrhythmic, Class 3",tablet,"N/V, phosopholipidemia","Blindness, hepatotoxicity, pulmonary fibrosis, Stevens-Johnson syndrome, thyrotoxicosis, ventricular arrhythmias","CI: severe sinus node dysfunction, 2nd- or 3rd-degree AV block, and cardiogenic shock BW: Arrhythmias, hepatotoxicity, proarrhythmic effects, pulmonary toxicity"
Amitriptyline,Elavil,Tricyclic Antidepressant,tablet,Sedation,"Cardiac dysrhythmia, hepatotoxicity, seizures, suicidal thoughts","CI: concurrent MAOI or MAOI use in last 14 d; use during acute recovery period after MI, coadministration of cisapride BW: not approved for children <12 y of age"
Amlodipine,Norvasc,CCB,tablet,peripheral and pulmonary edema,"Hepatotoxicity, thrombocytopenia, AMI, angina",None
Amoxicillin,"Amoxil, Moxatag",Beta-lactam Antibiotic,"tablet, suspension, capsule","diarrhea, nausea","Severe hypersensitivity, renal failure, hepatic failure, pancytopenia",None
Amoxicillin/Clavulanate,Augmentin,Beta-lactam Antibiotic,"tablet, suspension, capsule","diarrhea, nausea","Severe hypersensitivity, renal failure, hepatic failure, pancytopenia","CI: Extended release products are contraindicated in patients on dialysis or severe renal dysfunction, history of cholestatic jaundice or hepatic dysfunction with amoxicillin/clavulanate therapy"
Anastrozole,Arimidex,Aromatase inhibitor (Oncology),tablet,"N/V, edema, HTN, vasodilation, osteoporosis, hot flashes, depression, GI disorder","MI, endometrial cancer, cerebrovascular accident",CI: PREGNANCY
Apixaban,Eliquis,Factor Xa Inhibitor,tablet,bleeding,"Hypotension, hypersensitivity",CI: Active bleeding BW: Premature discontinuation increases risk of thrombotic events; increased risk of spinal hematoma with spinal puncture or neuraxial anesthesia
Aripiprazole,Abilify,"Antipsychotic, Second Generation","tablet, injection","akathisia, anxiety, extrapyramidal, H/A increased appetite (weight gain), somnolence","Slowed or difficult breathing when used in combination with opioids, compulsive behaviors, neuroleptic malignant syndrome, pancytopenia, QT prolongation, seizures, suicidal thoughts, tardive dyskinesia","BW: dementia, suicide"
Atazanavir,Reyataz,"Antiretroviral Agent, Protease Inhibitor","capsule, oral powder","rash, hyperlipid, increased LFT, stomach pain, increased bilirubin, cough, fever","Hypersensitivity, renal failure, PR and QTc prolongation, torsades de pointes, cholelithiasis, left bundle branch block",None
Atenolol,Tenormin,"Beta adrenergic blocker, Selective",tablet,"decreased HR, cold extremities, dizziness, hypotension, depression",None,"BW: avoid abrupt withdrawal CI: Hypersensitivity to atenolol, sinus bradycardia, 2nd- or 3rd-degree AV block, overt heart failure or cardiogenic shock"
Atomoxetine,Strattera,"Norepinephrine Reuptake Inhibitor, CNS Stimulant",capsule,"abdominal pain, H/A, insomnia, loss of appetite (weight loss), xerostomia","Dyskinesia, mania, prolonged QTc interval, psychotic disorders, seizure, suicidal thoughts, sudden cardiac death, tachycardia, hepatotoxicity","CI: concomitant use of MAOIs or use within 2 wk; narrow-angle glaucoma, pheochromocytoma, severe cardiac or vascular disorders in which condition would be expected to deteriorate with clinically important increases in BP or HR BW: Suicidality in children and adolescents"
Atorvastatin,Lipitor,HMG-CoA reductase inhibitor,tablet,"myopathy, D, H/A","Rhabdomyolysis, tendon rupture","CI: Hypersensitivity to atorvastatin, use in breastfeeding, active liver disease, unexplained persistent elevations of serum transaminases"
Azathioprine,"Azaman, Imuran",Immunosuppressant Agent,tablet,"leukopenia, N, infection","Neoplasia, pancreatitis","CI: Pregnancy (for rheumatoid arthritis), prior alkylating therapy BW: Malignancy"
Azelastine,"Astelin, Astepro","Antihistamine, Nasal",nasal spray,"bitter taste in mouth, H/A, somnolence",None,None
Azithromycin,"Zithromax, Z-Pak",Macrolide Antibiotic,"tablet, suspension, capsule",N/V/D,"Stevens-Johnson syndrome, chest pain, severe hypersensitivity, myasthenia gravis, QTc prolongation, torsades de pointes, hepatitis","CI: Hypersensitivity to azithromycin, erythromycin, or any macrolide or ketolide antibiotic"
Baclofen,Lioresal,Centrally Acting Skeletal Muscle Relaxant,tablet,"nausea, astenia, dizziness, somnolence, confusion","Slowed or difficult breathing when used in combination with opioids, pneumonia, GI hemorrhage, seizure",BW: Avoid abrupt discontinuation of oral or intrathecal product
